Categoría;Subcategoría;Tipo de Movimiento;Fecha;Detalle;Monto ($);Notas
"Deportes & Bienestar";"Cuidado Personal";"Gasto";"2026-03-17";"dentista";50000;""
"Deportes & Bienestar";"Cuidado Personal";"Gasto";"2026-03-17";"creatina star 1kg";75280;""
"Deportes & Bienestar";"Cuidado Personal";"Gasto";"2025-12-17";"dentita";40000;""
"Deportes & Bienestar";"Cuidado Personal";"Gasto";"2025-12-14";"Ropa agape";270000;""
"Deportes & Bienestar";"Cuidado Personal";"Gasto";"2025-10-24";"Creatina x4 Gold creature (33k.c/u) -4k Cuenta Dni";66000;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2026-06-01";"farmacia";19292;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2026-05-28";"farmacia";16100;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2026-05-20";"farmacia";10550;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2026-05-18";"pastillas fecofar";6100;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2026-04-14";"curaplus";9700;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2026-01-27";"farmacia";2500;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2025-12-31";"";79000;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2025-12-10";"Miopropan, ibu";35000;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2025-11-08";"Curaplus";8500;""
"Deportes & Bienestar";"Farmacia";"Gasto";"2025-06-23";"Pastillas fecofar";4840;""
"Deportes & Bienestar";"Fútbol";"Gasto";"2026-05-23";"rix";20000;""
"Deportes & Bienestar";"Fútbol";"Gasto";"2026-03-17";"F5";3000;""
"Deportes & Bienestar";"Gimnasio";"Gasto";"2026-03-04";"futbol";3000;""
"Deportes & Bienestar";"Gimnasio";"Gasto";"2025-10-21";"Ki rehab.";120000;""
"Deportes & Bienestar";"Gimnasio";"Gasto";"2025-09-10";"Ki rehab.";10000;""
"Deportes & Bienestar";"Gimnasio";"Gasto";"2025-08-28";"Ki rehab.";110000;""
"Deportes & Bienestar";"Suplementos";"Gasto";"2026-05-14";"magnesio";56027;""
"Deportes & Bienestar";"Suplementos";"Gasto";"2026-02-22";"magnesio";23000;""
"Deportes & Bienestar";"Suplementos";"Gasto";"2025-10-24";"Bisciglinato de magnesio x3";55104;""
"Formación";"Libros";"Gasto";"2026-02-22";"libros";31000;""
"Formación";"Material escolar";"Gasto";"2026-01-19";"agenda";2500;""
"Gastos Fijos";"Celular";"Gasto";"2026-05-14";"celular movistar";16490;""
"Gastos Fijos";"Celular";"Gasto";"2026-04-21";"renovación resgistro de conducir";40187;""
"Gastos Fijos";"Celular";"Gasto";"2026-04-11";"celular movistar";15323;""
"Gastos Fijos";"Celular";"Gasto";"2026-03-11";"celular movistar";14762;""
"Gastos Fijos";"Celular";"Gasto";"2026-02-13";"celular movbistar";13650;""
"Gastos Fijos";"Celular";"Gasto";"2025-12-11";"Celular Movistar";10410;""
"Gastos Fijos";"Celular";"Gasto";"2025-11-04";"Celular Movistar";10500;""
"Gastos Fijos";"Celular";"Gasto";"2025-10-09";"Celular Movistar";9500;""
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Internet";"Gasto Fijo";"Fijo Mensual (Día 15)";"Internet Fibra";28000;"Vence día 15"
"Gastos Fijos";"Suscripciones";"Gasto";"2026-04-13";"spotify";8415;""
"Gastos Fijos";"Suscripciones";"Gasto";"2026-02-19";"spotify";8300;""
"Gastos Fijos";"Suscripciones";"Gasto";"2026-01-19";"spotify";8300;""
"Gastos Fijos";"Suscripciones";"Gasto";"2026-01-14";"spotify";8300;""
"Gastos Fijos";"Suscripciones";"Gasto";"2025-12-15";"Spotify";8300;""
"Mascotas (Olivia)";"Alimentación";"Gasto";"2026-05-02";"comida olivia";3400;""
"Mascotas (Olivia)";"Alimentación";"Gasto";"2026-04-29";"comida olivia (15 de reintegro?)";110000;""
"Mascotas (Olivia)";"Juguetes / Accesorios";"Gasto";"2026-05-01";"disco olivia";2000;""
"Mascotas (Olivia)";"Salud / Vet";"Gasto";"2026-05-09";"consulta veterinaria";34000;""
"Mascotas (Olivia)";"Salud / Vet";"Gasto";"2026-05-02";"medicamento olivia";9000;""
"Mascotas (Olivia)";"Salud / Vet";"Gasto";"2026-03-01";"veterinario VACUNA";40000;""
"Mascotas (Olivia)";"Salud / Vet";"Gasto";"2026-02-27";"veterinario";15000;""
"Mascotas (Olivia)";"Salud / Vet";"Gasto";"2025-12-28";"Veterinario";85000;""
"Ocio & Recreación";"Gaming";"Gasto";"2026-03-17";"arreglo jostick";35000;""
"Ocio & Recreación";"Gaming";"Gasto";"2026-02-27";"juego mr preper";5600;""
"Ocio & Recreación";"Paseos";"Gasto";"2025-11-30";"Regular coc x13";75000;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-05-11";"franui shell";20100;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-05-01";"alfajor atalaya";29300;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-04-06";"café bs as";6000;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-03-16";"helado";8000;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-03-16";"franui";8500;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-03-07";"golosinas dientitos";5000;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-03-04";"helado";9000;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-02-14";"mayorista golosinas";11000;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-02-12";"entrada fiesta jangueo";16100;""
"Ocio & Recreación";"Recreación";"Gasto";"2026-02-12";"tragos jangueo";16000;""
"Ocio & Recreación";"Recreación";"Gasto";"2025-12-28";"";2790;""
"Ocio & Recreación";"Recreación";"Gasto";"2025-12-14";"Medialunas Atalaya 1 docena";14000;""
"Ocio & Recreación";"Recreación";"Gasto";"2025-11-23";"1/4 Helado";8800;""
"Ocio & Recreación";"Recreación";"Gasto";"2025-10-29";"YPF Cadbury y 2 rastas";10000;""
"Ocio & Recreación";"Recreación";"Gasto";"2025-10-02";"kilinmanjarou 6";40000;""
"Ocio & Recreación";"Recreación";"Gasto";"2025-08-31";"kilinmanjarou 6";40000;""
"Ocio & Recreación";"Recreación";"Gasto";"2025-08-14";"SHEll - Franui y gomitas";20000;""
"Ocio & Recreación";"Recreación";"Gasto";"2025-07-24";"kilinmanjarou 5";30000;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-05-24";"cowsins";17900;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-05-18";"pit master";54000;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-05-16";"pit master";21000;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-05-10";"burguer cnb";15000;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-04-27";"cowsins";17900;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-04-12";"cowsins";13500;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-03-16";"Burguer cowsins";13425;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-03-01";"cowsins";21000;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-02-20";"cowsins";9000;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-02-08";"Empanadas";4000;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2026-02-08";"cowsins";13200;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2025-12-28";"Burguer mac";17600;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2025-11-24";"Campito enzo simon";18700;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2025-11-24";"Campito enzo Milo";2700;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2025-11-23";"burguer y bebida";18000;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2025-08-17";"Cowsins";13900;""
"Salidas & Gastronomía";"Restaurantes";"Gasto";"2025-07-07";"Cowsins (+7000 de Sabri)";13400;""
"Seguros";"Vehículo";"Gasto";"2026-05-07";"Seguro auto";88671;""
"Seguros";"Vehículo";"Gasto";"2026-04-08";"Seguro auto";86700;""
"Seguros";"Vehículo";"Gasto";"2026-03-07";"Seguro auto";79335;""
"Seguros";"Vehículo";"Gasto";"2026-02-05";"Seguro auto";77205;""
"Seguros";"Vehículo";"Gasto";"2026-01-07";"Seguro auto";74215;""
"Seguros";"Vehículo";"Gasto";"2025-12-10";"Seguro";74215;""
"Seguros";"Vehículo";"Gasto";"2025-11-09";"Seguro";73300;""
"Seguros";"Vehículo";"Gasto";"2025-11-09";"Patente";32300;""
"Seguros";"Vehículo";"Gasto";"2025-10-09";"Seguro";71052;""
"Seguros";"Vehículo";"Gasto";"2025-09-09";"Patente";33200;""
"Seguros";"Vehículo";"Gasto";"2025-08-08";"Patente";35734.8;""
"Seguros";"Vehículo";"Gasto";"2025-08-08";"Seguro";68097.7;""
"Social & Eventos";"Juntadas";"Gasto";"2026-05-11";"Juntada agus";40328;""
"Social & Eventos";"Juntadas";"Gasto";"2026-04-03";"Juntada agus y manu";12800;""
"Social & Eventos";"Juntadas";"Gasto";"2026-03-24";"Juntada agus";6000;""
"Social & Eventos";"Juntadas";"Gasto";"2026-03-23";"juntada casa agus";6000;""
