"Categoría";"Subcategoría";"Fecha";"Detalle";Importe
"Transporte";"Combustible";"2025-05-05";"Axion 25% (Tope:6000)";24000,00
"Transporte";"Combustible";"2025-05-19";"Axion 25% (Tope:6000)";24000,00
"Ocio";"O - Otros";"2025-06-09";"chango mas";29172,41
"Supermercado";"Almacén";"2025-06-14";"Brownie exquisita";3900,00
"Supermercado";"Almacén";"2025-06-15";"Juntada Pizzas";3200,00
"Transporte";"Combustible";"2025-06-16";"Axion 25% (Tope:5000)";25000,00
"Transporte";"Auto mantenimiento";"2025-06-18";"Vtv";63463,30
"Transporte";"Garage";"2025-06-19";"Cochera Quevedo";8800,00
"Transporte";"Combustible";"2025-06-23";"Axion 25% (Tope:5000)";25000,00
"Salud";"Farmacia";"2025-06-23";"Pastillas fecofar";4840,00
"Supermercado";"Carnicería";"2025-06-23";"Pollo perris";9818,00
"Supermercado";"Almacén";"2025-06-28";"Brownie exquisita";3900,00
"Ocio";"O - Otros";"2025-06-28";"20% chango mas";16692,00
"Supermercado";"Carnicería";"2025-06-29";"Pollo perris";10800,00
"Transporte";"Combustible";"2025-06-30";"Axion 25% (Tope:5000)";25000,00
"Supermercado";"Almacén";"2025-07-01";"Pan";2299,00
"Ocio";"Restaurantes";"2025-07-07";"Cowsins (+7000 de Sabri)";13400,00
"Ocio";"O - Otros";"2025-07-12";"20% chango mas";20555,20
"Transporte";"Combustible";"2025-07-14";"Axion 25% (Tope:5000)";25000,00
"Ocio";"O - Otros";"2025-07-19";"20% chango mas";12964,45
"Transporte";"Combustible";"2025-07-21";"Axion 25% (Tope:5000)";25000,00
"Vivienda";"V - Otros";"2025-07-22";"Llaves Sabri";10000,00
"Transporte";"Combustible";"2025-07-28";"Axion 25% (Tope:5000)";25000,00
"Ocio";"Paseos";"2025-07-24";"kilinmanjarou 5";30000,00
"Transporte";"Combustible";"2025-08-04";"Axion";37035,00
"Vivienda";"Muebles";"2025-08-08";"Placard";480000,00
"Seguros";"Vehículo";"2025-08-08";"Patente";35734,80
"Seguros";"Vehículo";"2025-08-08";"Seguro";68097,70
"Ocio";"O - Otros";"2025-08-08";"20% chango mas";17436,00
"Transporte";"Combustible";"2025-08-11";"Axion";27000,00
"Vivienda";"Electrodomésticos";"2025-08-14";"SHEll - Auriculares";100000,00
"Vivienda";"Electrodomésticos";"2025-08-14";"SHEll - Mouse";50000,00
"Ocio";"O - Otros";"2025-08-14";"SHEll - Franui y gomitas";20000,00
"Supermercado";"Carnicería";"2025-08-14";"Milanesas de Pollo";23625,00
"Ocio";"O - Otros";"2025-08-17";"20% chango mas";2750,00
"Ocio";"Restaurantes";"2025-08-17";"Cowsins";13900,00
"Vivienda";"Muebles";"2025-08-20";"Escritorio";193000,00
"Transporte";"Combustible";"2025-08-22";"Axion";50006,96
"Vivienda";"Muebles";"2025-08-22";"Soporte doble";75000,00
"Ocio";"O - Otros";"2025-08-24";"20% chango mas";19598,15
"Ocio";"O - Otros";"2025-08-29";"Juntado Casa Cola";14700,00
"Ocio";"Paseos";"2025-08-31";"kilinmanjarou 6";40000,00
"Salud";"Gimnasio";"2025-08-28";"Ki rehab.";110000,00
"Transporte";"Combustible";"2025-09-05";"AXION: 39,16x$1430";56000,00
"Ocio";"O - Otros";"2025-09-07";"Chango mas";38500,00
"Salud";"Gimnasio";"2025-09-10";"Ki rehab.";10000,00
"Transporte";"Combustible";"2025-09-19";"AXION";55000,00
"Ocio";"O - Otros";"2025-09-20";"Chango mas";18594,67
"Vivienda";"Muebles";"2025-09-25";"Sabanas Suavida";37066,12
"Vivienda";"Muebles";"2025-09-25";"Edredon Abrazo";44545,45
"Vivienda";"Muebles";"2025-09-25";"Funda de Tuso";63471,07
"Vivienda";"Muebles";"2025-09-25";"Sabanas de algodon";65619,83
"Vivienda";"Muebles";"2025-09-25";"Protector impermeable";93016,53
"Vivienda";"Muebles";"2025-09-25";"Base de cama";345342,98
"Vivienda";"Muebles";"2025-09-25";"Colchon";515785,12
"Seguros";"Vehículo";"2025-09-09";"Patente";33200,00
"Ocio";"Paseos";"2025-10-02";"kilinmanjarou 6";40000,00
"Transporte";"Combustible";"2025-10-03";"AXION";57407,00
"Ocio";"O - Otros";"2025-10-04";"Chango mas";22053,65
"Gastos_Fijos";"Celular";"2025-10-09";"Celular Movistar";9500,00
"Seguros";"Vehículo";"2025-10-09";"Seguro";71052,00
"Transporte";"Auto mantenimiento";"2025-10-09";"Aceite Auto";8000,00
"Ocio";"O - Otros";"2025-10-11";"Chango mas";22004,20
"Transporte";"Combustible";"2025-10-19";"AXION";56000,00
"Salud";"Gimnasio";"2025-10-21";"Ki rehab.";120000,00
"Vivienda";"Muebles";"2025-10-23";"Cinta Doble Faz Hemmel 10M larg";19958,00
